run,rsi_long_threshold,rsi_short_threshold,pullback_max_pct,stop_loss_pct,take_profit_max_pct,trailing_stop_pct,typical_position_fraction,cagr,sharpe,max_dd,daily_vol,trades,final_equity,start,end
45,50.0,55.0,0.05,0.1,0.15,0.05,0.15,0.0021517121719163423,0.14446826114670225,-0.029746900202210047,0.0009912849087215588,16,10238.901941907778,2014-01-02,2024-12-31
39,50.0,55.0,0.05,0.08,0.15,0.07,0.15,0.001794769278805175,0.1066157578867388,-0.039933007301098056,0.0011599254401965734,15,10198.915557863682,2014-01-02,2024-12-31
47,50.0,55.0,0.05,0.1,0.15,0.07,0.15,0.001794769278805175,0.1066157578867388,-0.039933007301098056,0.0011599254401965734,15,10198.915557863682,2014-01-02,2024-12-31
67,55.0,50.0,0.05,0.08,0.12,0.07,0.15,0.001779015632986658,0.06203596161063074,-0.1274735263224812,0.002834056583848485,135,10197.154037104363,2014-01-02,2024-12-31
75,55.0,50.0,0.05,0.1,0.12,0.07,0.15,0.001779015632986658,0.06203596161063074,-0.1274735263224812,0.002834056583848485,135,10197.154037104363,2014-01-02,2024-12-31
52,50.0,55.0,0.08,0.08,0.15,0.05,0.1,0.001696627117872218,0.1496355454198272,-0.0294183816571435,0.0007429360837911208,20,10187.946129043887,2014-01-02,2024-12-31
60,50.0,55.0,0.08,0.1,0.15,0.05,0.1,0.001696627117872218,0.1496355454198272,-0.0294183816571435,0.0007429360837911208,20,10187.946129043887,2014-01-02,2024-12-31
49,50.0,55.0,0.08,0.08,0.12,0.05,0.15,0.0016750166674786016,0.1111412247729666,-0.038203705937010835,0.0010234940408441584,20,10185.532152645783,2014-01-02,2024-12-31
57,50.0,55.0,0.08,0.1,0.12,0.05,0.15,0.0016750166674786016,0.1111412247729666,-0.038203705937010835,0.0010234940408441584,20,10185.532152645783,2014-01-02,2024-12-31
34,50.0,55.0,0.05,0.08,0.12,0.07,0.1,0.0016069895760435493,0.14373742153111332,-0.02664764724792612,0.0007334721665249427,15,10177.93663989857,2014-01-02,2024-12-31
42,50.0,55.0,0.05,0.1,0.12,0.07,0.1,0.0016069895760435493,0.14373742153111332,-0.02664764724792612,0.0007334721665249427,15,10177.93663989857,2014-01-02,2024-12-31
